date:    2026-09-24T12:14:23Z
os:      Linux 7.0.14-orbstack-00380-ga7e0a2dc9535
cpu:     0x000
cores:   10
ram:     11GB
kvgo:    7ff6536
params:  count=10 benchtime=500000x shards=1 8 32 transport=in-process
---
"series","workers","run","ns_per_op","ops_per_sec"
"16 shards","64","2","266.7","3749531"
"16 shards","64","3","246.2","4061738"
"16 shards","64","4","262.8","3805175"
"16 shards","64","5","252.2","3965107"
"16 shards","64","6","262.4","3810975"
"16 shards","64","7","252.5","3960396"
"16 shards","64","8","270.1","3702332"
"16 shards","64","9","262.9","3803727"
"16 shards","64","10","272.0","3676470"
"32 shards","1","1","418.8","2387774"
"32 shards","1","2","382.9","2611647"
"32 shards","1","3","398.5","2509410"
"32 shards","1","4","406.7","2458814"
"32 shards","1","5","396.0","2525252"
"32 shards","1","6","398.9","2506893"
"32 shards","1","7","404.5","2472187"
"32 shards","1","8","415.6","2406159"
"32 shards","1","9","396.7","2520796"
"32 shards","1","10","385.6","2593360"
"32 shards","2","1","428.8","2332089"
"32 shards","2","2","411.5","2430133"
"32 shards","2","3","401.0","2493765"
"32 shards","2","4","409.2","2443792"
"32 shards","2","5","409.9","2439619"
"32 shards","2","6","429.9","2326122"
"32 shards","2","7","402.1","2486943"
"32 shards","2","8","438.5","2280501"
"32 shards","2","9","411.9","2427773"
"32 shards","2","10","411.2","2431906"
"32 shards","4","1","428.7","2332633"
"32 shards","4","2","446.5","2239641"
"32 shards","4","3","507.3","1971220"
"32 shards","4","4","492.4","2030869"
"32 shards","4","5","441.5","2265005"
"32 shards","4","6","443.9","2252759"
"32 shards","4","7","448.7","2228660"
"32 shards","4","8","478.6","2089427"
"32 shards","4","9","449.6","2224199"
"32 shards","4","10","430.9","2320724"
"32 shards","8","1","373.0","2680965"
"32 shards","8","2","370.7","2697599"
"32 shards","8","3","353.7","2827254"
"32 shards","8","4","369.9","2703433"
"32 shards","8","5","364.9","2740476"
"32 shards","8","6","378.2","2644103"
"32 shards","8","7","358.5","2789400"
"32 shards","8","8","369.7","2704895"
"32 shards","8","9","394.1","2537427"
"32 shards","8","10","376.9","2653223"
"32 shards","16","1","353.9","2825656"
"32 shards","16","2","332.6","3006614"
"32 shards","16","3","320.3","3122073"
"32 shards","16","4","301.0","3322259"
"32 shards","16","5","297.4","3362474"
"32 shards","16","6","325.2","3075030"
"32 shards","16","7","317.9","3145643"
"32 shards","16","8","326.7","3060912"
"32 shards","16","9","310.9","3216468"
"32 shards","16","10","356.3","2806623"
"32 shards","32","1","355.0","2816901"
"32 shards","32","2","282.8","3536067"
"32 shards","32","3","274.1","3648303"
"32 shards","32","4","272.2","3673769"
"32 shards","32","5","249.8","4003202"
"32 shards","32","6","274.0","3649635"
"32 shards","32","7","277.8","3599712"
"32 shards","32","8","283.3","3529827"
"32 shards","32","9","299.4","3340013"
"32 shards","32","10","277.5","3603603"
"32 shards","64","1","252.6","3958828"
"32 shards","64","2","267.3","3741114"
"32 shards","64","3","258.0","3875968"
"32 shards","64","4","298.3","3352329"
"32 shards","64","5","263.2","3799392"
"32 shards","64","6","264.0","3787878"
"32 shards","64","7","243.6","4105090"
"32 shards","64","8","261.9","3818251"
"32 shards","64","9","249.0","4016064"
"32 shards","64","10","259.9","3847633"
"128 shards","1","1","406.4","2460629"
"128 shards","1","2","409.6","2441406"
"128 shards","1","3","399.9","2500625"
"128 shards","1","4","391.7","2552974"
"128 shards","1","5","397.9","2513194"
"128 shards","1","6","408.9","2445585"
"128 shards","1","7","401.9","2488181"
"128 shards","1","8","396.1","2524614"
"128 shards","1","9","406.2","2461841"
"128 shards","1","10","419.1","2386065"
"128 shards","2","1","336.0","2976190"
"128 shards","2","2","336.4","2972651"
"128 shards","2","3","326.0","3067484"
"128 shards","2","4","361.1","2769315"
"128 shards","2","5","352.6","2836074"
"128 shards","2","6","331.7","3014772"
"128 shards","2","7","347.6","2876869"
"128 shards","2","8","338.7","2952465"
"128 shards","2","9","347.9","2874389"
"128 shards","2","10","340.3","2938583"
"128 shards","4","1","392.4","2548419"
"128 shards","4","2","386.1","2590002"
"128 shards","4","3","369.9","2703433"
"128 shards","4","4","374.4","2670940"
"128 shards","4","5","349.3","2862868"
"128 shards","4","6","350.4","2853881"
"128 shards","4","7","343.4","2912055"
"128 shards","4","8","352.7","2835270"
"128 shards","4","9","370.3","2700513"
"128 shards","4","10","393.6","2540650"
"128 shards","8","1","327.3","3055300"
"128 shards","8","2","341.7","2926543"
"128 shards","8","3","324.9","3077870"
"128 shards","8","4","302.2","3309066"
"128 shards","8","5","318.9","3135779"
"128 shards","8","6","335.2","2983293"
"128 shards","8","7","309.3","3233107"
"128 shards","8","8","310.9","3216468"
"128 shards","8","9","296.3","3374957"
"128 shards","8","10","308.9","3237293"
"128 shards","16","1","287.1","3483106"
"128 shards","16","2","266.0","3759398"
"128 shards","16","3","279.8","3573981"
"128 shards","16","4","285.6","3501400"
